中央电视台,#genre#

CCTV-1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/index.m3u8
CCTV-1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226514/index.m3u8
CCTV-1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226559/index.m3u8
CCTV-1综合,http://171.8.245.39:808/hls/1/index.m3u8
CCTV-1综合,http://58.19.38.162:9901/tsfile/live/1000_1.m3u8

CCTV-2财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8
CCTV-2财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226540/index.m3u8
CCTV-2财经,http://222.215.98.89:60033/tsfile/live/56567_1.m3u8
CCTV-2财经,http://58.19.38.162:9901/tsfile/live/1001_1.m3u8

CCTV-3综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-3综艺,http://58.19.38.162:9901/tsfile/live/1002_1.m3u8

CCTV-4中文国际(亚),http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226007/index.m3u8
CCTV-4中文国际(亚),http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226428/index.m3u8
CCTV-4中文国际(亚),http://58.19.38.162:9901/tsfile/live/1003_1.m3u8

CCTV-4K超高清,http://645c6e6320d051d49b446bac57d65143.v.smtcdns.net/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000266303.m3u8

CCTV-5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226469/index.m3u8
CCTV-5体育,http://58.19.38.162:9901/tsfile/live/1004_1.m3u8

CCTV-5+体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225603/index.m3u8
CCTV-5+体育赛事,http://58.19.38.162:9901/tsfile/live/1014_1.m3u8

CCTV-6电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226010/index.m3u8
CCTV-6电影,http://58.19.38.162:9901/tsfile/live/1005_1.m3u8

CCTV-7国防军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-7国防军事,http://58.19.38.162:9901/tsfile/live/1006_1.m3u8

CCTV-8电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-8电视剧,http://58.19.38.162:9901/tsfile/live/1007_1.m3u8

CCTV-9记录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225734/index.m3u8
CCTV-9记录,http://58.19.38.162:9901/tsfile/live/1008_1.m3u8

CCTV-10科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-10科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226473/index.m3u8
CCTV-10科教,http://58.19.38.162:9901/tsfile/live/1009_1.m3u8

CCTV-11戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-11戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226565/index.m3u8
CCTV-11戏曲,http://58.19.38.162:9901/tsfile/live/1010_1.m3u8

CCTV-12社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-12社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226568/index.m3u8
CCTV-12社会与法,http://58.19.38.162:9901/tsfile/live/1011_1.m3u8

CCTV-13新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226011/index.m3u8
CCTV-13新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226537/index.m3u8
CCTV-13新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226571/index.m3u8
CCTV-13新闻,http://58.19.38.162:9901/tsfile/live/1012_1.m3u8

CCTV-14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226591/index.m3u8
CCTV-14少儿,http://58.19.38.162:9901/tsfile/live/1013_1.m3u8

CCTV-15音乐,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226476/index.m3u8
CCTV-15音乐,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225601/index.m3u8
CCTV-15音乐,http://58.19.38.162:9901/tsfile/live/0015_1.m3u8

CCTV-16奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-16奥林匹克,http://219.146.83.202:9902/tsfile/live/0017_1.m3u8

CCTV-17农业农村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV-17农业农村,http://113.57.21.233:8666/tsfile/live/0019_1.m3u8

