中央,#genre#

CCTV1 720,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=reallive-hdcctv1&livemode=1&stbId=4
CCTV1 720,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=7780104586873900361&livemode=1&stbId=4
CCTV1 540,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=bestzb&Contentid=4624908642496875994&livemode=1&stbId=4

CCTV2 576,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=5353323539453949720&livemode=1&stbId=4

CCTV3 720,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=8378175926191110263&livemode=1&stbId=4

CCTV4 576,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=8183388942203045169&livemode=1&stbId=4

CCTV5 720,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=reallive-cctv5&livemode=1&stbId=4
CCTV5 720,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=5922040007130019836&livemode=1&stbId=4

CCTV5+ 720,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=reallive-cctv5plus&livemode=1&stbId=4

CCTV6 720,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=6117099895556651277&livemode=1&stbId=4
CCTV6 720,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=5919402815101985320&livemode=1&stbId=4

CCTV7 576,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=7050628689018054317&livemode=1&stbId=4

CCTV8 720,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=8871488051501921127&livemode=1&stbId=4
CCTV8 720,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=8845820895945979833&livemode=1&stbId=4

CCTV9 720,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=6275371742726901431&livemode=1&stbId=4

CCTV10 720,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=9092756522938817434&livemode=1&stbId=4
CCTV10 576,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=7019587760656900133&livemode=1&stbId=4

