央视频道,#genre#
CCTV1,http://221.235.42.195:7777/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://221.235.43.52:7777/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2,http://221.235.42.195:7777/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://221.235.43.52:7777/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3,http://221.235.42.195:7777/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://221.235.43.52:7777/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4,http://221.235.42.195:7777/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://221.235.43.52:7777/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5,http://221.235.42.195:7777/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://221.235.43.52:7777/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5+,http://221.235.42.195:7777/tsfile/live/0018_1.m3u8?key=txiptv
CCTV5+,http://221.235.43.52:7777/tsfile/live/0018_1.m3u8?key=txiptv
CCTV6,http://221.235.42.195:7777/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://221.235.43.52:7777/tsfile/live/0006_1.m3u8?key=txiptv
CCTV7,http://221.235.42.195:7777/tsfile/live/0007_1.m3u8?key=txiptv
CCTV7,http://221.235.43.52:7777/tsfile/live/0007_1.m3u8?key=txiptv
CCTV8,http://221.235.42.195:7777/tsfile/live/0008_1.m3u8?key=txiptv
CCTV8,http://221.235.43.52:7777/tsfile/live/0008_1.m3u8?key=txiptv
CCTV9,http://221.235.42.195:7777/tsfile/live/0009_1.m3u8?key=txiptv
CCTV9,http://221.235.43.52:7777/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10,http://221.235.42.195:7777/tsfile/live/0010_1.m3u8?key=txiptv
CCTV10,http://221.235.43.52:7777/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11,http://221.235.42.195:7777/tsfile/live/0011_1.m3u8?key=txiptv
CCTV11,http://221.235.43.52:7777/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12,http://221.235.42.195:7777/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,http://221.235.43.52:7777/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13,http://221.235.42.195:7777/tsfile/live/0013_1.m3u8?key=txiptv
CCTV13,http://221.235.43.52:7777/tsfile/live/0013_1.m3u8?key=txiptv
CCTV14,http://221.235.42.195:7777/tsfile/live/0014_1.m3u8?key=txiptv
CCTV14,http://221.235.43.52:7777/tsfile/live/0014_1.m3u8?key=txiptv
CCTV15,http://221.235.42.195:7777/tsfile/live/0015_1.m3u8?key=txiptv
CCTV15,http://221.235.43.52:7777/tsfile/live/0015_1.m3u8?key=txiptv
CCTV17,http://221.235.42.195:7777/tsfile/live/0017_1.m3u8?key=txiptv
CCTV17,http://221.235.43.52:7777/tsfile/live/0017_1.m3u8?key=txiptv
卫视频道,#genre#
湖南卫视,http://221.235.42.195:7777/tsfile/live/0128_1.m3u8?key=txiptv
湖南卫视,http://221.235.43.52:7777/tsfile/live/0128_1.m3u8?key=txiptv
浙江卫视,http://221.235.42.195:7777/tsfile/live/0124_1.m3u8?key=txiptv
浙江卫视,http://221.235.43.52:7777/tsfile/live/0124_1.m3u8?key=txiptv
江苏卫视,http://221.235.42.195:7777/tsfile/live/0127_1.m3u8?key=txiptv
江苏卫视,http://221.235.43.52:7777/tsfile/live/0127_1.m3u8?key=txiptv
北京卫视,http://221.235.42.195:7777/tsfile/live/0122_1.m3u8?key=txiptv
北京卫视,http://221.235.43.52:7777/tsfile/live/0122_1.m3u8?key=txiptv
东方卫视,http://221.235.42.195:7777/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视,http://221.235.43.52:7777/tsfile/live/0107_1.m3u8?key=txiptv
安徽卫视,http://221.235.42.195:7777/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视,http://221.235.43.52:7777/tsfile/live/0130_1.m3u8?key=txiptv
广东卫视,http://221.235.42.195:7777/tsfile/live/0125_1.m3u8?key=txiptv
广东卫视,http://221.235.43.52:7777/tsfile/live/0125_1.m3u8?key=txiptv
深圳卫视,http://221.235.42.195:7777/tsfile/live/0126_1.m3u8?key=txiptv
深圳卫视,http://221.235.43.52:7777/tsfile/live/0126_1.m3u8?key=txiptv
辽宁卫视,http://221.235.42.195:7777/tsfile/live/0121_1.m3u8?key=txiptv
辽宁卫视,http://221.235.43.52:7777/tsfile/live/0121_1.m3u8?key=txiptv
山东卫视,http://221.235.42.195:7777/tsfile/live/0131_1.m3u8?key=txiptv
山东卫视,http://221.235.43.52:7777/tsfile/live/0131_1.m3u8?key=txiptv
天津卫视,http://221.235.42.195:7777/tsfile/live/0135_1.m3u8?key=txiptv
天津卫视,http://221.235.43.52:7777/tsfile/live/0135_1.m3u8?key=txiptv
重庆卫视,http://221.235.42.195:7777/tsfile/live/0142_1.m3u8?key=txiptv
重庆卫视,http://221.235.43.52:7777/tsfile/live/0142_1.m3u8?key=txiptv
东南卫视,http://221.235.42.195:7777/tsfile/live/0137_1.m3u8?key=txiptv
东南卫视,http://221.235.43.52:7777/tsfile/live/0137_1.m3u8?key=txiptv
贵州卫视,http://221.235.42.195:7777/tsfile/live/0120_1.m3u8?key=txiptv
贵州卫视,http://221.235.43.52:7777/tsfile/live/0120_1.m3u8?key=txiptv
黑龙江卫视,http://221.235.42.195:7777/tsfile/live/0143_1.m3u8?key=txiptv
黑龙江卫视,http://221.235.43.52:7777/tsfile/live/0143_1.m3u8?key=txiptv
河南卫视,http://221.235.42.195:7777/tsfile/live/1003_1.m3u8?key=txiptv
河南卫视,http://221.235.43.52:7777/tsfile/live/1003_1.m3u8?key=txiptv
湖北卫视,http://221.235.42.195:7777/tsfile/live/0019_1.m3u8?key=txiptv
湖北卫视,http://221.235.43.52:7777/tsfile/live/0019_1.m3u8?key=txiptv
江西卫视,http://221.235.42.195:7777/tsfile/live/0138_1.m3u8?key=txiptv
江西卫视,http://221.235.43.52:7777/tsfile/live/0138_1.m3u8?key=txiptv
四川卫视,http://221.235.42.195:7777/tsfile/live/1004_1.m3u8?key=txiptv
四川卫视,http://221.235.43.52:7777/tsfile/live/1004_1.m3u8?key=txiptv
教育频道,#genre#
CGTN,http://221.235.42.195:7777/tsfile/live/0016_1.m3u8?key=txiptv
CGTN,http://221.235.43.52:7777/tsfile/live/0016_1.m3u8?key=txiptv
华中地区,#genre#
湖北经视,http://221.235.42.195:7777/tsfile/live/1000_1.m3u8?key=txiptv
湖北经视,http://221.235.43.52:7777/tsfile/live/1000_1.m3u8?key=txiptv
湖北综合,http://221.235.42.195:7777/tsfile/live/1001_1.m3u8?key=txiptv
湖北综合,http://221.235.43.52:7777/tsfile/live/1001_1.m3u8?key=txiptv
湖北公共,http://221.235.42.195:7777/tsfile/live/1002_1.m3u8?key=txiptv
湖北公共,http://221.235.43.52:7777/tsfile/live/1002_1.m3u8?key=txiptv
更新时间,#genre#
2025-12-20 11:01:20,https://taoiptv.com/time.mp4
