央视频道,#genre#
CCTV1,http://120.202.94.181:9446/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://223.75.149.129:9906/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2,http://120.202.94.181:9446/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://223.75.149.129:9906/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3,http://120.202.94.181:9446/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://223.75.149.129:9906/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4,http://120.202.94.181:9446/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://223.75.149.129:9906/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5,http://120.202.94.181:9446/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://223.75.149.129:9906/tsfile/live/0005_1.m3u8?key=txiptv
CCTV6,http://120.202.94.181:9446/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://223.75.149.129:9906/tsfile/live/0006_1.m3u8?key=txiptv
CCTV7,http://120.202.94.181:9446/tsfile/live/0007_1.m3u8?key=txiptv
CCTV7,http://223.75.149.129:9906/tsfile/live/0007_1.m3u8?key=txiptv
CCTV8,http://120.202.94.181:9446/tsfile/live/0008_1.m3u8?key=txiptv
CCTV8,http://223.75.149.129:9906/tsfile/live/0008_1.m3u8?key=txiptv
CCTV9,http://120.202.94.181:9446/tsfile/live/0009_1.m3u8?key=txiptv
CCTV9,http://223.75.149.129:9906/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10,http://120.202.94.181:9446/tsfile/live/0010_1.m3u8?key=txiptv
CCTV10,http://223.75.149.129:9906/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11,http://120.202.94.181:9446/tsfile/live/0011_1.m3u8?key=txiptv
CCTV11,http://223.75.149.129:9906/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12,http://120.202.94.181:9446/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,http://223.75.149.129:9906/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13,http://120.202.94.181:9446/tsfile/live/0013_1.m3u8?key=txiptv
CCTV13,http://223.75.149.129:9906/tsfile/live/0013_1.m3u8?key=txiptv
CCTV14,http://120.202.94.181:9446/tsfile/live/0014_1.m3u8?key=txiptv
CCTV14,http://223.75.149.129:9906/tsfile/live/0014_1.m3u8?key=txiptv
CCTV15,http://120.202.94.181:9446/tsfile/live/0015_1.m3u8?key=txiptv
CCTV15,http://223.75.149.129:9906/tsfile/live/0015_1.m3u8?key=txiptv
卫视频道,#genre#
湖南卫视,http://223.75.149.129:9906/tsfile/live/0128_1.m3u8?key=txiptv
浙江卫视,http://120.202.94.181:9446/tsfile/live/0124_1.m3u8?key=txiptv
浙江卫视,http://223.75.149.129:9906/tsfile/live/0124_1.m3u8?key=txiptv
江苏卫视,http://120.202.94.181:9446/tsfile/live/0127_1.m3u8?key=txiptv
江苏卫视,http://223.75.149.129:9906/tsfile/live/0127_1.m3u8?key=txiptv
北京卫视,http://120.202.94.181:9446/tsfile/live/0122_1.m3u8?key=txiptv
北京卫视,http://223.75.149.129:9906/tsfile/live/0122_1.m3u8?key=txiptv
东方卫视,http://223.75.149.129:9906/tsfile/live/0107_1.m3u8?key=txiptv
安徽卫视,http://223.75.149.129:9906/tsfile/live/0130_1.m3u8?key=txiptv
广东卫视,http://120.202.94.181:9446/tsfile/live/0125_1.m3u8?key=txiptv
广东卫视,http://223.75.149.129:9906/tsfile/live/0125_1.m3u8?key=txiptv
深圳卫视,http://120.202.94.181:9446/tsfile/live/0126_1.m3u8?key=txiptv
深圳卫视,http://223.75.149.129:9906/tsfile/live/0126_1.m3u8?key=txiptv
辽宁卫视,http://223.75.149.129:9906/tsfile/live/0121_1.m3u8?key=txiptv
山东卫视,http://223.75.149.129:9906/tsfile/live/0131_1.m3u8?key=txiptv
