央视频道,#genre#
CCTV1,http://biaohome.f3322.net:8888/rtp/228.0.0.167:7167
CCTV1,http://biaohome.f3322.net:8888/rtp/228.0.0.1:6108
CCTV2,http://biaohome.f3322.net:8888/rtp/228.0.0.2:6108
CCTV3,http://biaohome.f3322.net:8888/rtp/228.0.0.156:7156
CCTV4,http://biaohome.f3322.net:8888/rtp/228.0.0.143:7143
CCTV5,http://biaohome.f3322.net:8888/rtp/228.0.0.112:6108
CCTV5,http://biaohome.f3322.net:8888/rtp/228.0.0.17:6108
CCTV5,http://biaohome.f3322.net:8888/rtp/228.0.0.5:6108
CCTV6,http://biaohome.f3322.net:8888/rtp/228.0.0.157:7157
CCTV7,http://biaohome.f3322.net:8888/rtp/228.0.0.7:6108
CCTV8,http://biaohome.f3322.net:8888/rtp/228.0.0.158:7158
CCTV9,http://biaohome.f3322.net:8888/rtp/228.0.0.9:6108
CCTV10,http://biaohome.f3322.net:8888/rtp/228.0.0.10:6108
CCTV11,http://biaohome.f3322.net:8888/rtp/228.0.0.242:6108
CCTV12,http://biaohome.f3322.net:8888/rtp/228.0.0.12:6108
CCTV13,http://biaohome.f3322.net:8888/rtp/228.0.0.13:6108
CCTV13,http://biaohome.f3322.net:8888/rtp/228.0.0.202:6108
CCTV14,http://biaohome.f3322.net:8888/rtp/228.0.0.14:6108
CCTV15,http://biaohome.f3322.net:8888/rtp/228.0.0.15:6108
CCTV16,http://biaohome.f3322.net:8888/rtp/228.0.0.249:6108
CCTV17,http://biaohome.f3322.net:8888/rtp/228.0.0.161:7161
CCTV第一剧场,http://biaohome.f3322.net:8888/rtp/228.0.0.235:6108
CCTV风云足球,http://biaohome.f3322.net:8888/rtp/228.0.0.236:6108
CCTV怀旧剧场,http://biaohome.f3322.net:8888/rtp/228.0.0.237:6108
卫视频道,#genre#
湖南卫视,http://biaohome.f3322.net:8888/rtp/228.0.0.61:6108
浙江卫视,http://biaohome.f3322.net:8888/rtp/228.0.0.65:6108
江苏卫视,http://biaohome.f3322.net:8888/rtp/228.0.0.64:6108
北京卫视,http://biaohome.f3322.net:8888/rtp/228.0.0.63:6108
东方卫视,http://biaohome.f3322.net:8888/rtp/228.0.0.62:6108
安徽卫视,http://biaohome.f3322.net:8888/rtp/228.0.0.122:6108
广东卫视,http://biaohome.f3322.net:8888/rtp/228.0.0.66:6108
深圳卫视,http://biaohome.f3322.net:8888/rtp/228.0.0.67:6108
辽宁卫视,http://biaohome.f3322.net:8888/rtp/228.0.0.123:6108
海南卫视,http://biaohome.f3322.net:8888/rtp/228.0.0.165:7165
山东卫视,http://biaohome.f3322.net:8888/rtp/228.0.0.121:6108
天津卫视,http://biaohome.f3322.net:8888/rtp/228.0.0.120:6108
重庆卫视,http://biaohome.f3322.net:8888/rtp/228.0.0.159:7159
东南卫视,http://biaohome.f3322.net:8888/rtp/228.0.0.144:7144
甘肃卫视,http://biaohome.f3322.net:8888/rtp/228.0.0.57:6108
广西卫视,http://biaohome.f3322.net:8888/rtp/228.0.0.37:6108
贵州卫视,http://biaohome.f3322.net:8888/rtp/228.0.0.160:7160
河北卫视,http://biaohome.f3322.net:8888/rtp/228.0.0.168:7168
黑龙江卫视,http://biaohome.f3322.net:8888/rtp/228.0.0.68:6108
河南卫视,http://biaohome.f3322.net:8888/rtp/228.0.0.230:6108
