央视频道,#genre#
CCTV1,http://58.19.38.162:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2,http://58.19.38.162:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3,http://58.19.38.162:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4,http://58.19.38.162:9901/tsfile/live/1000_1.m3u8?key=txiptv
CCTV5,http://58.19.38.162:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV6,http://58.19.38.162:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV7,http://58.19.38.162:9901/tsfile/live/1001_1.m3u8?key=txiptv
CCTV8,http://58.19.38.162:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV9,http://58.19.38.162:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10,http://58.19.38.162:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11,http://58.19.38.162:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12,http://58.19.38.162:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13,http://58.19.38.162:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV14,http://58.19.38.162:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV15,http://58.19.38.162:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV17,http://58.19.38.162:9901/tsfile/live/1002_1.m3u8?key=txiptv
CCTV风云足球,http://58.19.38.162:9901/tsfile/live/1003_1.m3u8?key=txiptv
卫视频道,#genre#
湖南卫视,http://58.19.38.162:9901/tsfile/live/0128_1.m3u8?key=txiptv
浙江卫视,http://58.19.38.162:9901/tsfile/live/0124_1.m3u8?key=txiptv
江苏卫视,http://58.19.38.162:9901/tsfile/live/0127_1.m3u8?key=txiptv
北京卫视,http://58.19.38.162:9901/tsfile/live/0122_1.m3u8?key=txiptv
东方卫视,http://58.19.38.162:9901/tsfile/live/0107_1.m3u8?key=txiptv
广东卫视,http://58.19.38.162:9901/tsfile/live/0125_1.m3u8?key=txiptv
深圳卫视,http://58.19.38.162:9901/tsfile/live/0126_1.m3u8?key=txiptv
辽宁卫视,http://58.19.38.162:9901/tsfile/live/0121_1.m3u8?key=txiptv
山东卫视,http://58.19.38.162:9901/tsfile/live/0131_1.m3u8?key=txiptv
天津卫视,http://58.19.38.162:9901/tsfile/live/0135_1.m3u8?key=txiptv
重庆卫视,http://58.19.38.162:9901/tsfile/live/0142_1.m3u8?key=txiptv
东南卫视,http://58.19.38.162:9901/tsfile/live/0137_1.m3u8?key=txiptv
贵州卫视,http://58.19.38.162:9901/tsfile/live/0120_1.m3u8?key=txiptv
河南卫视,http://58.19.38.162:9901/tsfile/live/0139_1.m3u8?key=txiptv
湖北卫视,http://58.19.38.162:9901/tsfile/live/0132_1.m3u8?key=txiptv
江西卫视,http://58.19.38.162:9901/tsfile/live/0138_1.m3u8?key=txiptv
四川卫视,http://58.19.38.162:9901/tsfile/live/0123_1.m3u8?key=txiptv
新疆卫视,http://58.19.38.162:9901/tsfile/live/0110_1.m3u8?key=txiptv
云南卫视,http://58.19.38.162:9901/tsfile/live/0119_1.m3u8?key=txiptv
西藏卫视,http://58.19.38.162:9901/tsfile/live/0111_1.m3u8?key=txiptv
电影频道,#genre#
家庭影院,http://58.19.38.162:9901/tsfile/live/1006_1.m3u8?key=txiptv
动作电影,http://58.19.38.162:9901/tsfile/live/1005_1.m3u8?key=txiptv
影迷电影,http://58.19.38.162:9901/tsfile/live/1004_1.m3u8?key=txiptv
更新时间,#genre#
2025-01-18 01:19:12,https://taoiptv.com/time.mp4
